"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
1998-01-01,"Brive","Borders",56,18,"Home",NA,NA,0,1
1998-01-01,"Pontypridd","Bath",15,21,"Away",NA,NA,0,1
1998-01-01,"Borders","Bath",17,31,"Away",NA,NA,0,1
1998-01-01,"Brive","Pontypridd",32,31,"Home",NA,NA,0,1
1998-01-01,"Bath","Brive",27,25,"Home",NA,NA,0,1
1998-01-01,"Borders","Pontypridd",16,23,"Away",NA,NA,0,1
1998-01-01,"Pontypridd","Brive",29,29,"Draw",NA,NA,0,1
1998-01-01,"Bath","Borders",27,23,"Home",NA,NA,0,1
1998-01-01,"Pontypridd","Borders",46,26,"Home",NA,NA,0,1
1998-01-01,"Brive","Bath",29,12,"Home",NA,NA,0,1
1998-01-01,"Bath","Pontypridd",23,10,"Home",NA,NA,0,1
1998-01-01,"Borders","Brive",29,39,"Away",NA,NA,0,1
1998-01-01,"Bourgoin","Cardiff Blues",26,25,"Home",NA,NA,0,1
1998-01-01,"Harlequins","Munster",48,40,"Home",NA,NA,0,1
1998-01-01,"Harlequins","Bourgoin",45,7,"Home",NA,NA,0,1
1998-01-01,"Cardiff Blues","Munster",43,23,"Home",NA,NA,0,1
1998-01-01,"Munster","Bourgoin",17,15,"Home",NA,NA,0,1
1998-01-01,"Cardiff Blues","Harlequins",21,28,"Away",NA,NA,0,1
1998-01-01,"Munster","Cardiff Blues",32,37,"Away",NA,NA,0,1
1998-01-01,"Bourgoin","Harlequins",18,30,"Away",NA,NA,0,1
1998-01-01,"Bourgoin","Munster",21,6,"Home",NA,NA,0,1
1998-01-01,"Harlequins","Cardiff Blues",31,32,"Away",NA,NA,0,1
1998-01-01,"Cardiff Blues","Bourgoin",26,6,"Home",NA,NA,0,1
1998-01-01,"Munster","Harlequins",23,16,"Home",NA,NA,0,1
1998-01-01,"Treviso","Pau",18,19,"Away",NA,NA,0,1
1998-01-01,"Caledonia","Scarlets",18,23,"Away",NA,NA,0,1
1998-01-01,"Pau","Scarlets",44,12,"Home",NA,NA,0,1
1998-01-01,"Caledonia","Treviso",17,9,"Home",NA,NA,0,1
1998-01-01,"Scarlets","Treviso",39,18,"Home",NA,NA,0,1
1998-01-01,"Pau","Caledonia",50,8,"Home",NA,NA,0,1
1998-01-01,"Treviso","Caledonia",52,6,"Home",NA,NA,0,1
1998-01-01,"Scarlets","Pau",14,10,"Home",NA,NA,0,1
1998-01-01,"Treviso","Scarlets",42,25,"Home",NA,NA,0,1
1998-01-01,"Caledonia","Pau",30,24,"Home",NA,NA,0,1
1998-01-01,"Scarlets","Caledonia",31,10,"Home",NA,NA,0,1
1998-01-01,"Pau","Treviso",56,7,"Home",NA,NA,0,1
1998-01-01,"Leicester","Glasgow",90,19,"Home",NA,NA,0,1
1998-01-01,"Brive","Pontypridd",25,20,"Home",NA,NA,0,1
1998-01-01,"Cardiff Blues","Scarlets",24,20,"Home",NA,NA,0,1
1998-01-01,"Bath","Cardiff Blues",32,21,"Home",NA,NA,0,1
1998-01-01,"Toulouse","Harlequins",51,10,"Home",NA,NA,0,1
1998-01-01,"Wasps","Brive",18,25,"Away",NA,NA,0,1
1998-01-01,"Pau","Leicester",35,18,"Home",NA,NA,0,1
1998-01-01,"Bath","Pau",20,14,"Home",NA,NA,0,1
1998-01-01,"Toulouse","Brive",22,22,"Draw",NA,NA,0,1
1998-01-01,"Bath","Brive",19,18,"Home",NA,NA,1,1
1999-01-01,"Scarlets","Leinster",27,33,"Away",NA,NA,0,1
1999-01-01,"Bordeaux","Stade Francais",28,39,"Away",NA,NA,0,1
1999-01-01,"Leinster","Stade Francais",17,28,"Away",NA,NA,0,1
1999-01-01,"Scarlets","Bordeaux",22,10,"Home",NA,NA,0,1
1999-01-01,"Leinster","Bordeaux",9,3,"Home",NA,NA,0,1
1999-01-01,"Stade Francais","Scarlets",49,3,"Home",NA,NA,0,1
1999-01-01,"Stade Francais","Leinster",56,31,"Home",NA,NA,0,1
1999-01-01,"Bordeaux","Scarlets",48,10,"Home",NA,NA,0,1
1999-01-01,"Scarlets","Stade Francais",17,13,"Home",NA,NA,0,1
1999-01-01,"Bordeaux","Leinster",31,10,"Home",NA,NA,0,1
1999-01-01,"Leinster","Scarlets",27,34,"Away",NA,NA,0,1
1999-01-01,"Stade Francais","Bordeaux",34,21,"Home",NA,NA,0,1
1999-01-01,"Munster","Petrarca",20,13,"Home",NA,NA,0,1
1999-01-01,"Neath","Perpignan",33,51,"Away",NA,NA,0,1
1999-01-01,"Munster","Neath",34,10,"Home",NA,NA,0,1
1999-01-01,"Perpignan","Petrarca",67,8,"Home",NA,NA,0,1
1999-01-01,"Perpignan","Munster",41,24,"Home",NA,NA,0,1
1999-01-01,"Petrarca","Neath",28,17,"Home",NA,NA,0,1
1999-01-01,"Neath","Munster",18,18,"Draw",NA,NA,0,1
1999-01-01,"Petrarca","Perpignan",6,14,"Away",NA,NA,0,1
1999-01-01,"Munster","Perpignan",13,5,"Home",NA,NA,0,1
1999-01-01,"Neath","Petrarca",16,3,"Home",NA,NA,0,1
1999-01-01,"Perpignan","Neath",60,24,"Home",NA,NA,0,1
1999-01-01,"Petrarca","Munster",21,35,"Away",NA,NA,0,1
1999-01-01,"Ulster","Edinburgh",38,38,"Draw",NA,NA,0,1
1999-01-01,"Toulouse","Ebbw Vale",108,16,"Home",NA,NA,0,1
1999-01-01,"Edinburgh","Ebbw Vale",41,17,"Home",NA,NA,0,1
1999-01-01,"Toulouse","Ulster",39,3,"Home",NA,NA,0,1
1999-01-01,"Ebbw Vale","Ulster",28,61,"Away",NA,NA,0,1
1999-01-01,"Edinburgh","Toulouse",25,29,"Away",NA,NA,0,1
1999-01-01,"Ulster","Toulouse",29,24,"Home",NA,NA,0,1
1999-01-01,"Ebbw Vale","Edinburgh",16,43,"Away",NA,NA,0,1
1999-01-01,"Ulster","Ebbw Vale",43,18,"Home",NA,NA,0,1
1999-01-01,"Toulouse","Edinburgh",23,11,"Home",NA,NA,0,1
1999-01-01,"Ebbw Vale","Toulouse",19,11,"Home",NA,NA,0,1
1999-01-01,"Edinburgh","Ulster",21,23,"Away",NA,NA,0,1
1999-01-01,"Treviso","Colomiers",19,22,"Away",NA,NA,0,1
1999-01-01,"Glasgow","Pontypridd",21,43,"Away",NA,NA,0,1
1999-01-01,"Pontypridd","Colomiers",32,27,"Home",NA,NA,0,1
1999-01-01,"Treviso","Glasgow",34,15,"Home",NA,NA,0,1
1999-01-01,"Pontypridd","Treviso",13,22,"Away",NA,NA,0,1
1999-01-01,"Colomiers","Glasgow",34,16,"Home",NA,NA,0,1
1999-01-01,"Colomiers","Pontypridd",35,21,"Home",NA,NA,0,1
1999-01-01,"Glasgow","Treviso",40,27,"Home",NA,NA,0,1
1999-01-01,"Treviso","Pontypridd",33,19,"Home",NA,NA,0,1
1999-01-01,"Glasgow","Colomiers",26,17,"Home",NA,NA,0,1
1999-01-01,"Colomiers","Treviso",41,7,"Home",NA,NA,0,1
1999-01-01,"Pontypridd","Glasgow",32,3,"Home",NA,NA,0,1
1999-01-01,"Ulster","Toulouse",15,13,"Home",NA,NA,0,1
1999-01-01,"Perpignan","Scarlets",34,17,"Home",NA,NA,0,1
1999-01-01,"Stade Francais","Pontypridd",71,14,"Home",NA,NA,0,1
1999-01-01,"Colomiers","Munster",23,9,"Home",NA,NA,0,1
